Mês	Doses Recebidas	Dose 1	Dose 2	Dose única	% População Vacinada
Fevereiro	2752699	1615129	370361	0	8.001.001.008.158.830
Março	2752720	1932734	543102	0	11.732.767.892.767.000
Abril	7268327	4668107	1577181	0	34.072.234.309.360.200
Maio	12066250	7290646	4206703	0	9.087.845.357.374.230
Junho	19612868	11256991	5530044	0	11.946.691.908.479.200
Julho	27133473	18855249	5936849	212320	13.284.203.079.789.400
Agosto	38370398	26280296	9117881	1091698	22.056.008.022.409.800
Setembro	62990578	36146666	22802835	1153814	51.754.146.036.193.600
